Category: All categories

Week,harvard admission: (United States)
2020-02-02,39
2020-02-09,32
2020-02-16,48
2020-02-23,47
2020-03-01,40
2020-03-08,37
2020-03-15,19
2020-03-22,44
2020-03-29,26
2020-04-05,27
2020-04-12,27
2020-04-19,26
2020-04-26,29
2020-05-03,28
2020-05-10,32
2020-05-17,31
2020-05-24,21
2020-05-31,27
2020-06-07,26
2020-06-14,31
2020-06-21,19
2020-06-28,24
2020-07-05,24
2020-07-12,29
2020-07-19,21
2020-07-26,32
2020-08-02,24
2020-08-09,29
2020-08-16,26
2020-08-23,20
2020-08-30,23
2020-09-06,31
2020-09-13,39
2020-09-20,36
2020-09-27,27
2020-10-04,31
2020-10-11,29
2020-10-18,32
2020-10-25,29
2020-11-01,21
2020-11-08,25
2020-11-15,30
2020-11-22,25
2020-11-29,23
2020-12-06,30
2020-12-13,41
2020-12-20,21
2020-12-27,18
2021-01-03,24
2021-01-10,21
2021-01-17,24
2021-01-24,25
2021-01-31,22
2021-02-07,21
2021-02-14,26
2021-02-21,25
2021-02-28,23
2021-03-07,22
2021-03-14,22
2021-03-21,34
2021-03-28,28
2021-04-04,48
2021-04-11,22
2021-04-18,21
2021-04-25,20
2021-05-02,20
2021-05-09,23
2021-05-16,19
2021-05-23,19
2021-05-30,22
2021-06-06,15
2021-06-13,24
2021-06-20,13
2021-06-27,21
2021-07-04,22
2021-07-11,15
2021-07-18,15
2021-07-25,22
2021-08-01,20
2021-08-08,18
2021-08-15,14
2021-08-22,28
2021-08-29,30
2021-09-05,33
2021-09-12,31
2021-09-19,25
2021-09-26,26
2021-10-03,25
2021-10-10,22
2021-10-17,39
2021-10-24,36
2021-10-31,24
2021-11-07,27
2021-11-14,29
2021-11-21,16
2021-11-28,37
2021-12-05,28
2021-12-12,48
2021-12-19,23
2021-12-26,35
2022-01-02,34
2022-01-09,35
2022-01-16,30
2022-01-23,34
2022-01-30,41
2022-02-06,36
2022-02-13,35
2022-02-20,34
2022-02-27,36
2022-03-06,40
2022-03-13,41
2022-03-20,46
2022-03-27,68
2022-04-03,43
2022-04-10,35
2022-04-17,45
2022-04-24,35
2022-05-01,40
2022-05-08,30
2022-05-15,26
2022-05-22,28
2022-05-29,25
2022-06-05,26
2022-06-12,25
2022-06-19,23
2022-06-26,28
2022-07-03,24
2022-07-10,30
2022-07-17,23
2022-07-24,26
2022-07-31,22
2022-08-07,23
2022-08-14,32
2022-08-21,38
2022-08-28,29
2022-09-04,45
2022-09-11,43
2022-09-18,45
2022-09-25,32
2022-10-02,42
2022-10-09,41
2022-10-16,41
2022-10-23,37
2022-10-30,73
2022-11-06,41
2022-11-13,54
2022-11-20,34
2022-11-27,34
2022-12-04,43
2022-12-11,55
2022-12-18,32
2022-12-25,28
2023-01-01,38
2023-01-08,49
2023-01-15,41
2023-01-22,36
2023-01-29,44
2023-02-05,33
2023-02-12,39
2023-02-19,30
2023-02-26,49
2023-03-05,35
2023-03-12,39
2023-03-19,46
2023-03-26,53
2023-04-02,43
2023-04-09,42
2023-04-16,34
2023-04-23,30
2023-04-30,36
2023-05-07,31
2023-05-14,33
2023-05-21,30
2023-05-28,26
2023-06-04,25
2023-06-11,31
2023-06-18,28
2023-06-25,100
2023-07-02,81
2023-07-09,43
2023-07-16,39
2023-07-23,45
2023-07-30,28
2023-08-06,28
2023-08-13,34
2023-08-20,33
2023-08-27,41
2023-09-03,45
2023-09-10,38
2023-09-17,34
2023-09-24,46
2023-10-01,32
2023-10-08,40
2023-10-15,42
2023-10-22,42
2023-10-29,44
2023-11-05,38
2023-11-12,44
2023-11-19,23
2023-11-26,43
2023-12-03,47
2023-12-10,60
2023-12-17,49
2023-12-24,33
2023-12-31,43
2024-01-07,47
2024-01-14,43
2024-01-21,42
2024-01-28,35
2024-02-04,37
2024-02-11,35
2024-02-18,37
2024-02-25,49
2024-03-03,37
2024-03-10,34
2024-03-17,44
2024-03-24,58
2024-03-31,43
2024-04-07,38
2024-04-14,35
2024-04-21,35
2024-04-28,33
2024-05-05,38
2024-05-12,45
2024-05-19,26
2024-05-26,25
2024-06-02,24
2024-06-09,22
2024-06-16,19
2024-06-23,19
2024-06-30,20
2024-07-07,25
2024-07-14,24
2024-07-21,21
2024-07-28,30
2024-08-04,24
2024-08-11,34
2024-08-18,34
2024-08-25,36
2024-09-01,37
2024-09-08,36
2024-09-15,33
2024-09-22,38
2024-09-29,44
2024-10-06,33
2024-10-13,38
2024-10-20,34
2024-10-27,50
2024-11-03,31
2024-11-10,38
2024-11-17,39
2024-11-24,29
2024-12-01,37
2024-12-08,58
2024-12-15,49
2024-12-22,41
2024-12-29,39
2025-01-05,34
2025-01-12,33
2025-01-19,26
2025-01-26,38
2025-02-02,33
